name,percentage_probability,xmin,ymin,xmax,ymax
car,81.76,2494,1070,3251,1629
car,79.53,2180,1245,2476,1432
car,71.58,3497,1172,4017,1367
car,51.92,3248,1141,3462,1265
traffic light,50.9,2309,853,2418,908
