name,percentage_probability,xmin,ymin,xmax,ymax
person,96.49,1296,450,1495,1101
person,95.93,1689,385,2011,1230
person,92.45,129,426,967,1230
person,90.38,720,470,1021,1035
person,85.83,125,543,301,913
person,85.13,1035,795,1147,1009
person,53.62,2258,58,2532,944
bicycle,50.74,1586,752,1650,837
