name,percentage_probability,xmin,ymin,xmax,ymax
car,82.88,11,1832,1021,2625
car,80.24,764,1910,1677,2394
car,73.76,1452,1941,1952,2272
car,72.81,2177,1949,2451,2108
person,68.79,2640,1930,2705,2104
person,65.16,2574,1934,2640,2094
car,64.86,1730,1945,2093,2207
car,54.38,2303,1957,2537,2089
car,53.41,1274,1934,1624,2049
